Ano,Trimestre,UF,UPA,V1008,V1014,V2003,VD4009,V4019,VD4012,VD4002,V2007,V2010,V2009,VD2002,VD2003,V1022,V1023,VD3004,V3002,VD4010,VD4011,V4018,V4025,V4040,VD4031,V1028,VD4016,VD4017
2023,4,51,510056049,14,10,1,9.0,2.0,2.0,1.0,1,1,32,1,2,1,4,5.0,2.0,2.0,7.0,1.0,,2.0,40.0,347.34841356,4000.0,4000.0
2024,4,24,240013538,9,11,2,,,,,2,1,18,3,4,1,4,2.0,2.0,,,,,,,504.56342924,,
2024,2,33,330316714,14,11,4,,,,,1,1,4,3,4,1,1,,,,,,,,,557.28363151,,
2025,1,41,410141688,7,12,2,8.0,1.0,1.0,1.0,2,4,55,2,4,1,4,6.0,2.0,4.0,5.0,1.0,,4.0,44.0,599.51047483,500.0,940.0
2023,3,41,410117854,2,11,1,1.0,,1.0,1.0,1,4,43,1,1,1,4,3.0,2.0,2.0,9.0,4.0,2.0,4.0,44.0,533.92707617,2500.0,3200.0
2025,3,42,420254100,3,12,1,9.0,1.0,2.0,1.0,2,4,40,1,2,2,4,2.0,2.0,1.0,6.0,1.0,,4.0,40.0,258.01657177,2000.0,2000.0
2023,4,29,290073973,5,11,1,,,,,1,4,25,1,2,2,4,5.0,2.0,,,,,,,436.16593923,,
2025,1,23,230024730,3,12,2,,,,,2,4,77,2,2,2,4,1.0,2.0,,,,,,,159.28670491,,
2025,3,25,250057979,13,12,2,,,,2.0,1,2,37,2,4,1,1,5.0,2.0,,,,,,,193.81189694,,
2023,2,42,420060114,7,10,1,9.0,2.0,2.0,1.0,1,2,41,1,3,1,1,2.0,2.0,10.0,2.0,1.0,,4.0,20.0,174.410248,2000.0,2000.0
2024,2,42,420072028,11,11,2,,,,,2,4,26,2,3,1,2,4.0,2.0,,,,,,,310.18895616,,
2025,1,35,350579910,10,11,1,4.0,,2.0,1.0,1,1,40,1,5,2,4,2.0,2.0,11.0,6.0,,,4.0,44.0,84.20068404,1200.0,1200.0
2025,3,29,290189270,10,12,3,,,,,1,4,1,3,3,1,1,,,,,,,,,655.955596,,
2025,4,31,310213304,12,12,1,,,,,2,4,27,1,3,2,4,5.0,2.0,,,,,,,172.23713692,,
2025,3,35,350645431,12,12,1,9.0,2.0,2.0,1.0,1,4,27,1,1,1,1,7.0,1.0,7.0,2.0,1.0,,4.0,40.0,2369.86181573,6000.0,6000.0
2023,4,32,320018826,3,11,1,4.0,,2.0,1.0,2,2,19,1,1,1,2,4.0,2.0,11.0,9.0,,,2.0,40.0,418.77482977,900.0,900.0
2025,4,32,320179262,6,12,3,,,,,1,4,5,3,4,1,4,1.0,1.0,,,,,,,155.90460692,,
2024,3,26,260003947,13,11,1,2.0,,2.0,1.0,2,4,30,1,3,2,4,5.0,2.0,2.0,8.0,1.0,1.0,4.0,40.0,260.1928182,600.0,500.0
2023,1,15,150001882,1,10,3,,,,,1,4,24,3,3,1,1,6.0,1.0,,,,,,,432.1128965,,
2024,1,13,130078098,13,10,2,,,,,1,1,24,3,3,1,1,6.0,1.0,,,,,,,269.97364226,,
2024,3,51,510043848,9,11,1,,,,,1,1,66,1,1,1,4,4.0,2.0,,,,,,,364.04489433,,
2023,2,42,420057181,12,10,4,,,,,1,1,3,3,4,1,4,,,,,,,,,248.57864879,,
2025,2,35,351276160,11,12,2,,,,,2,1,14,3,3,1,4,2.0,1.0,,,,,,,1232.83955269,,
2023,1,50,500048221,3,10,1,6.0,,1.0,1.0,2,4,59,1,2,1,1,7.0,2.0,8.0,2.0,,1.0,4.0,40.0,293.98102919,5500.0,5500.0
2023,1,33,330027035,12,10,1,,,,,2,4,94,1,1,1,2,2.0,2.0,,,,,,,362.2147982,,
2023,1,23,230075870,3,10,5,,,,,2,4,16,3,5,1,2,4.0,1.0,,,,,,,904.48475541,,
2023,4,21,210018259,10,10,1,9.0,1.0,2.0,1.0,2,4,56,1,2,2,4,5.0,2.0,4.0,5.0,1.0,,3.0,40.0,83.9535108,5000.0,6000.0
2025,3,33,330628076,2,12,2,,,,,1,4,36,2,5,2,4,4.0,2.0,,,,,,,163.11133693,,
2023,4,52,520089534,2,11,4,1.0,,1.0,1.0,1,4,18,3,5,1,4,4.0,1.0,4.0,4.0,3.0,2.0,2.0,24.0,614.17182346,660.0,660.0
2024,3,33,330185044,14,11,1,,,,,2,4,81,1,1,1,2,2.0,2.0,,,,,,,124.02062165,,
2024,2,27,270002724,8,11,1,,,,,2,4,50,1,3,1,1,2.0,2.0,,,,,,,151.28481241,,
2023,4,27,270074791,10,11,2,2.0,,2.0,1.0,1,4,45,2,4,2,4,5.0,2.0,1.0,9.0,1.0,1.0,1.0,7.0,166.04434464,200.0,200.0
2024,1,51,510039309,10,11,1,9.0,2.0,2.0,1.0,2,4,41,1,1,1,4,2.0,2.0,4.0,5.0,1.0,,1.0,4.0,164.45397009,270.0,170.0
2024,4,13,130109461,3,12,2,,,,2.0,1,4,29,3,3,1,1,5.0,2.0,,,,,,,523.3543863,,
2025,2,31,310636995,11,12,3,,,,,2,1,15,3,4,1,4,3.0,1.0,,,,,,,612.61044871,,
2024,3,51,510015420,14,11,1,2.0,,1.0,1.0,1,1,62,1,3,1,1,2.0,2.0,4.0,4.0,3.0,2.0,3.0,40.0,200.62961262,2800.0,2800.0
2023,4,41,410179734,3,11,1,,,,,1,1,18,1,2,1,4,3.0,1.0,,,,,,,305.72616198,,
2025,3,28,280081400,9,12,1,,,,,2,1,24,1,6,1,1,3.0,2.0,,,,,,,364.28090963,,
2025,4,35,351678948,5,12,2,2.0,,2.0,1.0,2,1,17,3,3,1,2,4.0,1.0,4.0,5.0,4.0,2.0,2.0,30.0,1591.81043493,700.0,650.0
2023,3,21,210099700,8,11,4,,,,,2,2,18,3,4,1,4,5.0,2.0,,,,,,,413.96679676,,
2025,1,23,230066878,10,12,1,,,,,2,4,37,1,3,2,4,5.0,2.0,,,,,,,277.12589139,,
2023,1,31,310398194,6,10,4,,,,,2,1,1,3,4,2,4,,,,,,,,,67.33289998,,
2025,4,41,410146970,5,12,1,,,,,2,4,30,1,5,1,4,2.0,2.0,,,,,,,568.18460319,,
2024,2,29,290113604,12,11,2,,,,,2,4,79,2,4,2,4,2.0,2.0,,,,,,,504.77665489,,
2024,2,31,310250028,4,11,2,,,,,1,4,8,3,2,1,1,2.0,1.0,,,,,,,334.25446544,,
2024,4,35,351315163,7,12,1,1.0,,1.0,1.0,2,1,44,1,4,1,4,7.0,2.0,10.0,3.0,3.0,2.0,4.0,30.0,573.43043374,2800.0,2800.0
2024,4,33,330309658,14,12,1,6.0,,1.0,1.0,2,2,34,1,2,2,4,6.0,1.0,9.0,2.0,,1.0,4.0,40.0,93.66044095,2100.0,2100.0
2023,3,27,270027490,9,10,3,9.0,2.0,2.0,1.0,1,4,42,3,3,2,4,2.0,2.0,1.0,6.0,1.0,,4.0,24.0,61.53187448,600.0,600.0
2023,4,15,150085510,7,10,3,1.0,,1.0,1.0,2,1,30,5,3,1,1,5.0,1.0,7.0,4.0,4.0,2.0,3.0,40.0,654.03649801,1320.0,1320.0
2023,4,12,120004316,2,11,4,,,,,2,1,0,8,4,1,4,,,,,,,,,311.16789625,,
2025,4,42,420014069,14,12,3,,,,,2,1,8,3,3,1,2,2.0,1.0,,,,,,,280.32030949,,
2023,3,23,230015590,4,10,1,,,,,2,4,25,1,3,1,1,3.0,2.0,,,,,,,640.31426497,,
2023,4,17,170025280,8,11,2,2.0,,1.0,1.0,2,1,36,2,4,1,1,7.0,2.0,4.0,5.0,4.0,1.0,4.0,40.0,276.21518553,6700.0,6700.0
2023,3,31,310342334,9,10,1,1.0,,1.0,1.0,1,2,52,1,2,2,4,2.0,2.0,1.0,6.0,4.0,2.0,4.0,40.0,234.77407399,2800.0,2800.0
2023,2,35,350594902,6,10,1,,,,2.0,2,1,19,1,2,1,1,4.0,2.0,,,,,,,1656.41777813,,
2025,3,31,310310610,7,12,3,,,,,1,2,16,3,4,1,4,3.0,1.0,,,,,,,771.56919002,,
2024,2,12,120012264,4,11,5,,,,,1,4,89,6,5,1,1,1.0,2.0,,,,,,,62.17380243,,
2024,1,53,530010563,4,11,2,1.0,,1.0,1.0,2,1,41,6,2,1,1,5.0,2.0,4.0,5.0,4.0,2.0,4.0,44.0,451.99109917,1412.0,1412.0
2023,4,52,520051109,11,10,4,,,,,1,4,87,6,4,1,3,2.0,2.0,,,,,,,880.98573514,,
2025,3,24,240017313,5,12,2,,,,,2,4,61,2,2,2,4,5.0,2.0,,,,,,,191.36584275,,
2024,2,42,420032385,7,11,2,7.0,,1.0,1.0,2,1,31,2,2,1,4,7.0,1.0,8.0,3.0,,2.0,4.0,40.0,137.99969788,9000.0,9000.0
2024,1,23,230142763,3,11,2,1.0,,1.0,1.0,2,2,40,2,2,2,4,2.0,2.0,2.0,9.0,4.0,2.0,2.0,44.0,192.82420949,1000.0,1000.0
2025,1,42,420025657,10,11,2,5.0,,1.0,1.0,1,1,44,2,4,1,1,7.0,2.0,8.0,2.0,,1.0,4.0,30.0,237.00348266,5000.0,7000.0
2024,4,51,510006860,14,12,1,1.0,,1.0,1.0,2,2,34,1,7,1,1,5.0,2.0,7.0,3.0,3.0,2.0,1.0,3.0,467.4857811,500.0,500.0
2024,3,35,351095787,12,11,2,,,,2.0,2,4,34,2,4,1,2,5.0,2.0,,,,,,,1020.04135028,,
2024,3,31,310190765,2,12,4,9.0,2.0,2.0,1.0,1,4,15,3,5,2,4,2.0,1.0,1.0,9.0,1.0,,1.0,10.0,449.49549349,300.0,200.0
2023,2,43,430203936,8,10,3,,,,,1,1,3,3,3,2,2,,,,,,,,,384.56844761,,
2024,1,41,410183304,1,11,2,1.0,,1.0,1.0,1,4,24,2,4,1,4,4.0,2.0,4.0,7.0,2.0,2.0,4.0,44.0,841.81903294,1500.0,1500.0
2025,3,17,170032350,8,12,2,6.0,,1.0,1.0,1,4,44,2,3,1,4,5.0,2.0,8.0,3.0,,2.0,4.0,40.0,343.87884324,6000.0,6000.0
2025,2,42,420117463,12,12,3,2.0,,1.0,1.0,1,1,24,3,3,2,4,5.0,2.0,7.0,3.0,1.0,2.0,2.0,40.0,147.59076241,1700.0,1500.0
2025,1,29,290190855,11,12,1,9.0,2.0,2.0,1.0,2,2,54,1,1,2,4,2.0,2.0,1.0,6.0,1.0,,4.0,40.0,567.14765351,200.0,0.0
2025,2,21,210056139,2,12,2,,,,,1,1,63,2,4,2,4,2.0,2.0,,,,,,,82.16483464,,
2025,3,35,352421916,4,12,1,9.0,2.0,2.0,1.0,1,4,63,1,2,2,4,2.0,2.0,3.0,7.0,1.0,,4.0,40.0,356.26655088,3000.0,3000.0
2025,3,28,280118544,4,12,1,,,,,2,4,46,1,2,2,4,1.0,2.0,,,,,,,153.7120479,,
2025,3,27,270143811,12,12,6,,,,,2,4,0,3,6,2,4,,,,,,,,,96.75798932,,
2024,1,43,430135993,13,11,1,,,,,2,1,59,1,2,1,1,5.0,2.0,,,,,,,202.01977721,,
2025,3,11,110019138,1,12,4,,,,,1,4,2,3,4,2,4,,,,,,,,,120.28736843,,
2025,4,21,210309129,4,13,2,9.0,2.0,2.0,1.0,1,4,31,2,3,1,4,5.0,2.0,2.0,7.0,1.0,,4.0,44.0,304.56991879,900.0,900.0
